City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,Saint-Augustin,51.226,-58.6502,58.33,71,0,9.26,CA,2022-09-11 21:34:36
266,Kamina,-8.7386,24.9906,67.87,72,35,5.32,CD,2022-09-11 21:39:09
267,Broome,42.2506,-75.833,67.69,87,100,9.22,US,2022-09-11 21:37:12
268,Oussouye,12.485,-16.5469,78.19,90,100,6.11,SN,2022-09-11 21:39:10
269,Kodiak,57.79,-152.4072,58.51,63,75,12.66,US,2022-09-11 21:30:21
270,Tazovskiy,67.4667,78.7,39.61,90,100,17.81,RU,2022-09-11 21:39:11
271,Codrington,-38.2667,141.9667,48.45,79,100,9.37,AU,2022-09-11 21:31:56
272,Taos,36.4072,-105.5731,79.2,40,0,9.22,US,2022-09-11 21:37:03
273,Charlottetown,46.2352,-63.1267,68.56,63,40,9.22,CA,2022-09-11 21:38:04
274,Cherskiy,68.75,161.3,41.27,82,99,5.88,RU,2022-09-11 21:35:41
275,Paamiut,61.994,-49.6678,42.96,94,100,16.49,GL,2022-09-11 21:40:12
276,Warmbad,-28.45,18.7333,54.63,57,93,11.88,NA,2022-09-11 21:40:13
277,Hambantota,6.1241,81.1185,73.74,100,20,8.05,LK,2022-09-11 21:34:32
278,Villa Sandino,12.0483,-84.9936,78.17,92,100,10.13,NI,2022-09-11 21:40:13
279,Rock Sound,24.9,-76.2,84.25,70,0,6.49,BS,2022-09-11 21:40:14
280,Marrakesh,31.6315,-8.0083,82.47,61,75,10.36,MA,2022-09-11 21:40:14
281,Ardesen,41.1911,40.9875,75.94,48,0,3.2,TR,2022-09-11 21:40:15
282,Turukhansk,65.8167,87.9833,30.6,80,15,1.16,RU,2022-09-11 21:31:59
283,Nikolskoye,59.7035,30.7861,49.87,82,100,4.07,RU,2022-09-11 21:30:33
284,Mar Del Plata,-38.0023,-57.5575,53.94,79,0,18.01,AR,2022-09-11 21:36:10
285,Rovaniemi,66.5,25.7167,49.41,93,75,8.05,FI,2022-09-11 21:40:16
286,Tasiilaq,65.6145,-37.6368,39.36,76,100,8.97,GL,2022-09-11 21:30:22
287,Boa Viagem,-5.1275,-39.7322,84.79,32,97,1.83,BR,2022-09-11 21:40:17
288,Goroka,-6.0834,145.3873,63.68,80,88,0.67,PG,2022-09-11 21:40:17
289,Pangody,65.85,74.4859,43.11,83,100,13.8,RU,2022-09-11 21:40:18
290,Sungaipenuh,-2.0833,101.3833,63.55,94,94,1.88,ID,2022-09-11 21:40:18
291,Dhenkanal,20.6667,85.6,77.27,93,98,8.5,IN,2022-09-11 21:40:19
292,Williams Lake,52.1415,-122.1445,80.06,35,75,3.44,CA,2022-09-11 21:40:19
293,Mokhsogollokh,61.4681,128.9203,37.4,83,97,2.01,RU,2022-09-11 21:40:20
