City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
243,Saskylakh,RU,71.9167,114.0833,36.21,75,41,8.81,scattered clouds
244,Kuytun,RU,54.3419,101.5036,49.86,70,100,5.53,overcast clouds
245,San Quintin,MX,30.4833,-115.95,75.31,81,39,3.89,scattered clouds
246,Port-Gentil,GA,-0.7193,8.7815,74.75,84,100,11.9,overcast clouds
247,Casablanca,MA,33.5928,-7.6192,73.33,83,100,4.0,overcast clouds
248,Diamantino,BR,-14.4086,-56.4461,84.22,23,9,5.01,clear sky
249,Ossora,RU,59.2353,163.0719,54.68,68,98,8.41,overcast clouds
250,Portobelo,PA,9.55,-79.65,79.72,88,100,8.05,overcast clouds
251,Tessalit,ML,20.1986,1.0114,92.57,12,52,8.68,broken clouds
252,Fort Nelson,CA,58.8053,-122.7002,62.19,29,75,10.36,broken clouds
253,Tambura,SS,5.6,27.4667,67.35,97,79,4.65,broken clouds
254,Moerai,PF,-22.4333,-151.3333,73.51,80,15,15.5,few clouds
255,Bobrovytsya,UA,50.75,31.3833,50.2,98,98,7.56,overcast clouds
256,Deputatskiy,RU,69.3,139.9,34.36,81,100,5.06,overcast clouds
257,Kemijarvi,FI,66.7131,27.4306,46.76,92,100,6.53,overcast clouds
258,Aurillac,FR,44.9167,2.45,58.08,58,0,10.36,clear sky
259,Churapcha,RU,62.0025,132.4325,39.88,90,99,5.7,light rain
260,Kavaratti,IN,10.5669,72.642,80.26,82,100,18.97,overcast clouds
261,Constitucion,CL,-35.3333,-72.4167,51.17,75,94,3.98,overcast clouds
262,America Dourada,BR,-11.4553,-41.4361,72.21,43,22,11.1,few clouds
263,Torbay,CA,47.6666,-52.7314,59.76,97,100,18.41,heavy intensity rain
264,Islamkot,PK,24.6997,70.177,82.63,73,100,7.72,overcast clouds
265,Pindiga,NG,9.9833,10.9333,69.31,96,6,5.93,clear sky
266,Naze,JP,28.3667,129.4833,85.12,84,87,15.03,overcast clouds
267,Tulsipur,NP,28.131,82.2973,73.49,84,11,2.37,few clouds
268,Zhigansk,RU,66.7697,123.3711,38.89,78,52,9.82,broken clouds
269,Mitsamiouli,KM,-11.3847,43.2844,74.01,73,15,2.51,few clouds
270,Madang,PG,-5.2246,145.7966,81.27,80,100,4.29,overcast clouds
271,Burns Lake,CA,54.2331,-125.7533,72.82,30,11,4.85,few clouds
272,Poum,NC,-20.2333,164.0167,77.38,79,4,10.38,clear sky
273,Lexington,US,37.9887,-84.4777,73.4,93,100,9.22,light rain
274,Murray Bridge,AU,-35.1167,139.2667,55.13,74,100,6.38,overcast clouds
275,Babag,PH,7.7311,126.0708,84.04,71,94,3.13,overcast clouds
276,Barkot,IN,30.8167,78.2,65.44,91,28,3.53,scattered clouds
277,Labuhan,ID,-6.8844,112.2051,81.99,71,79,6.71,broken clouds
278,Port Keats,AU,-14.25,129.55,89.37,45,0,2.82,clear sky
